bulan;titik_lokasi;kecamatan;wilayah;panjang/luas;satuan_panjang/luas;tanggal;volume_sampah_perhari(m3)
1;Kali / Sungai Sentiong - Ruas Dewi Sri;Johar Baru;Jakarta Pusat;464.0;m;1;4.0
1;Kali / Sungai Sentiong - Ruas Abapon;Johar Baru;Jakarta Pusat;464.0;m;1;4.0
1;Kali / Sungai Sentiong - JL Tanah Tinggi;Johar Baru;Jakarta Pusat;464.0;m;1;4.0
1;Kali / Sungai Sentiong Jl.Galur - Pombensin;Johar Baru;Jakarta Pusat;606.0;m;1;4.0
1;Kali / Sungai Sentiong - Jl. Timah;Johar Baru;Jakarta Pusat;310.0;m;1;7.0
1;PHB Kawi Kawi Bawah;Johar Baru;Jakarta Pusat;620.0;m;1;1.0
1;PHB Kayu Awet;Johar Baru;Jakarta Pusat;300.0;m;1;12.0
1;PHB Pulo Gundul;Johar Baru;Jakarta Pusat;500.0;m;1;1.0
1;PHB Tanah Tinggi XII;Johar Baru;Jakarta Pusat;500.0;m;1;1.0
1;PHB Bala Dewa;Johar Baru;Jakarta Pusat;330.0;m;1;1.0
1;PHB Percetakan Negara II;Johar Baru;Jakarta Pusat;500.0;m;1;12.0
1;PHB Johar Baru V;Johar Baru;Jakarta Pusat;200.0;m;1;1.0
1;Sungai Utan Kayu Jl Pengayoman;Cempaka Putih;Jakarta Pusat;600.0;m;1;12.0
1;Sungai Utan Kayu Jembatan Serong;Cempaka Putih;Jakarta Pusat;400.0;m;1;12.0
1;Kali / Sungai Utan Kayu Jembatan Serong - SLTP 137;Cempaka Putih;Jakarta Pusat;950.0;m;1;12.0
1;Kali / Sungai Utan Kayu SLTP 137 - Kebun Sayur;Cempaka Putih;Jakarta Pusat;1250.0;m;1;12.0
1;Kali / Sungai Utan Kayu Jembatan Kebun Sayur - Suprapto;Cempaka Putih;Jakarta Pusat;700.0;m;1;12.0
1;Kali / Sungai Utan Kayu Suprapto cempaka baru;Cempaka Putih;Jakarta Pusat;900.0;m;1;12.0
1;Kali / Sungai Utan Kayu Cempaka Baru - Kodam;Cempaka Putih;Jakarta Pusat;900.0;m;1;12.0
1;PHB Rawa Kebo;Cempaka Putih;Jakarta Pusat;1100.0;m;1;12.0
1;PHB Mardani;Cempaka Putih;Jakarta Pusat;860.0;m;1;12.0
